positive_prob,confidence,negative_prob,sentiment
0.45616,0.12319,0.543841,1
0.0308141,0.931524,0.969186,0
0.781505,0.514455,0.218495,2
0.499719,0.994383,0.500281,1
0.0662353,0.85281,0.933765,0
0.00748628,0.983364,0.992514,0
0.159617,0.645296,0.840383,0
0.718649,0.374777,0.28135,2
0.460999,0.219973,0.539001,1
0.000637817,0.998583,0.999362,0
0.00876256,0.980528,0.991237,0
0.374756,0.167209,0.625244,0
0.0882621,0.803862,0.911738,0
0.361221,0.197286,0.638779,0
0.205553,0.543215,0.794447,0
0.422537,0.0610292,0.577463,0
0.647174,0.215942,0.352826,2
0.369005,0.179988,0.630995,0
0.184126,0.590832,0.815874,0
0.584901,0.0775577,0.415099,2
0.173003,0.615549,0.826997,0
0.118094,0.73757,0.881906,0
0.39428,0.123823,0.60572,0
0.466877,0.337544,0.533123,1
0.0111689,0.97518,0.988831,0
0.0495572,0.889873,0.950443,0
0.718294,0.373987,0.281706,2
0.144399,0.679114,0.855601,0
0.198111,0.559753,0.801889,0
0.14171,0.68509,0.85829,0
0.380478,0.154494,0.619523,0
0.0761903,0.830688,0.92381,0
0.0366023,0.918662,0.963398,0
0.891737,0.759416,0.108263,2
0.374758,0.167205,0.625242,0
0.290863,0.353638,0.709137,0
0.837358,0.638574,0.162642,2
0.341611,0.240864,0.658389,0
0.0209855,0.953365,0.979014,0
0.10412,0.768622,0.89588,0
0.749093,0.442428,0.250907,2
0.824843,0.610762,0.175157,2
0.10557,0.765399,0.89443,0
0.964688,0.921528,0.0353125,2
0.0479547,0.893434,0.952045,0
0.898214,0.773808,0.101786,2
0.930948,0.846552,0.0690517,2
0.0481939,0.892902,0.951806,0
0.478581,0.571612,0.521419,1
0.050771,0.887176,0.949229,0
0.485338,0.706757,0.514662,1
0.0238013,0.947108,0.976199,0
0.0259358,0.942365,0.974064,0
0.0495164,0.889964,0.950484,0
0.0107837,0.976036,0.989216,0
0.0476878,0.894027,0.952312,0
0.72747,0.394378,0.27253,2
0.982766,0.961703,0.0172335,2
0.757812,0.461806,0.242188,2
0.613129,0.140287,0.386871,2
0.826074,0.613499,0.173925,2
positive_prob,confidence,negative_prob,sentiment
0.0229173,0.949073,0.977083,0
0.000347242,0.999228,0.999653,0
0.0312507,0.930554,0.968749,0
0.88763,0.750289,0.11237,2
0.593687,0.0970815,0.406313,2
0.00403316,0.991037,0.995967,0
0.135511,0.698863,0.864489,0
0.78353,0.518956,0.21647,2
0.379126,0.157498,0.620874,0
0.844769,0.655042,0.155231,2
0.593257,0.0961259,0.406743,2
0.0861689,0.808514,0.913831,0
0.143582,0.680928,0.856418,0
0.0587,0.869555,0.9413,0
0.800937,0.557637,0.199063,2
0.00352542,0.992166,0.996475,0
0.762185,0.471522,0.237815,2
0.901011,0.780024,0.0989892,2
0.0441967,0.901785,0.955803,0
0.775581,0.501291,0.224419,2
0.705758,0.346129,0.294242,2
0.721595,0.381321,0.278405,2
0.211701,0.529554,0.788299,0
0.0363757,0.919165,0.963624,0
0.575659,0.057021,0.424341,2
0.442597,0.0164505,0.557403,0
0.643386,0.207525,0.356614,2
0.00200006,0.995555,0.998,0
0.0136332,0.969704,0.986367,0
0.145594,0.676457,0.854406,0
0.0393145,0.912635,0.960686,0
0.637401,0.194225,0.362599,2
0.0580086,0.871092,0.941991,0
0.352027,0.217718,0.647973,0
0.185689,0.587357,0.814311,0
0.761034,0.468964,0.238966,2
0.0455916,0.898685,0.954408,0
0.775444,0.500987,0.224556,2
0.00585566,0.986988,0.994144,0
0.48201,0.640203,0.51799,1
0.618933,0.153185,0.381067,2
0.230661,0.487419,0.769338,0
0.449954,0.00010146,0.550046,0
0.335449,0.254559,0.664551,0
0.503561,0.928781,0.496439,1
0.00952281,0.978838,0.990477,0
0.254004,0.435547,0.745996,0
0.791654,0.537009,0.208346,2
0.208952,0.535663,0.791048,0
0.178645,0.603012,0.821355,0
0.517921,0.641571,0.482079,1
0.455191,0.10381,0.544809,1
0.339761,0.244975,0.660239,0
0.908712,0.797138,0.0912878,2
0.0228512,0.949219,0.977149,0
0.213822,0.524841,0.786178,0
0.0730386,0.837692,0.926961,0
0.551335,0.00296712,0.448665,2
0.00273217,0.993928,0.997268,0
0.0341502,0.924111,0.96585,0
0.73985,0.42189,0.26015,2
0.108472,0.758952,0.891528,0
0.160247,0.643895,0.839753,0
0.155622,0.654174,0.844378,0
0.460978,0.219562,0.539022,1
0.0285746,0.936501,0.971425,0
0.00206555,0.99541,0.997934,0
0.902809,0.784019,0.0971915,2
0.0487655,0.891632,0.951235,0
0.583317,0.0740386,0.416683,2
0.769926,0.488724,0.230074,2
0.473763,0.475254,0.526237,1
0.263151,0.41522,0.736849,0
0.0846218,0.811952,0.915378,0
0.751409,0.447576,0.248591,2
0.299818,0.333738,0.700182,0
0.791006,0.535568,0.208994,2
0.177624,0.60528,0.822376,0
0.217502,0.516662,0.782498,0
0.0898257,0.800387,0.910174,0
0.134866,0.700298,0.865134,0
0.71069,0.357089,0.28931,2
0.125164,0.721858,0.874836,0
0.00316194,0.992974,0.996838,0
0.211045,0.531011,0.788955,0
0.125104,0.72199,0.874896,0
0.302514,0.327746,0.697486,0
0.785771,0.523934,0.214229,2
0.00936138,0.979197,0.990639,0
0.0168589,0.962536,0.983141,0
0.465018,0.300367,0.534982,1
0.154082,0.657596,0.845918,0
0.0138131,0.969304,0.986187,0
0.00713892,0.984136,0.992861,0
0.83661,0.636912,0.16339,2
0.0105683,0.976515,0.989432,0
0.892806,0.761792,0.107194,2
0.31382,0.302623,0.68618,0
0.587378,0.0830615,0.412622,2
0.834498,0.632218,0.165502,2
0.0132079,0.970649,0.986792,0
0.425236,0.055032,0.574764,0
0.0542726,0.879394,0.945727,0
0.441359,0.0192018,0.558641,0
0.867054,0.704565,0.132946,2
0.439616,0.0230753,0.560384,0
0.902248,0.782773,0.0977519,2
0.0637016,0.858441,0.936298,0
0.629035,0.175633,0.370965,2
0.0637016,0.858441,0.936298,0
0.0222681,0.950515,0.977732,0
0.260426,0.421275,0.739574,0
0.23382,0.480399,0.76618,0
0.219653,0.511883,0.780347,0
0.287916,0.360188,0.712084,0
0.367099,0.184224,0.632901,0
0.201362,0.552528,0.798638,0
0.289103,0.357549,0.710897,0
0.186836,0.584808,0.813164,0
0.252354,0.439214,0.747646,0
0.112567,0.749851,0.887433,0
0.491774,0.835488,0.508226,1
0.00494474,0.989012,0.995055,0
0.780135,0.511411,0.219865,2
0.10325,0.770555,0.89675,0
0.670115,0.266922,0.329885,2
0.850712,0.668249,0.149288,2
0.336239,0.252802,0.663761,0
0.47148,0.42961,0.52852,1
0.39442,0.12351,0.60558,0
0.0637016,0.858441,0.936298,0
0.0394633,0.912304,0.960537,0
0.047917,0.893518,0.952083,0
0.110182,0.75515,0.889818,0
0.623407,0.163127,0.376593,2
0.0318347,0.929256,0.968165,0
0.319493,0.290015,0.680507,0
0.00411113,0.990864,0.995889,0
0.661962,0.248804,0.338038,2
0.461475,0.229499,0.538525,1
0.793663,0.541474,0.206337,2
0.767686,0.483748,0.232314,2
0.510384,0.79232,0.489616,1
0.691669,0.314819,0.308331,2
0.296384,0.341368,0.703616,0
0.0637016,0.858441,0.936298,0
0.533743,0.325142,0.466257,1
0.243628,0.458605,0.756372,0
0.267098,0.406449,0.732902,0
0.232123,0.484172,0.767877,0
0.0642752,0.857166,0.935725,0
0.875604,0.723563,0.124396,2
0.172604,0.616436,0.827396,0
0.423655,0.0585445,0.576345,0
0.87355,0.719001,0.12645,2
0.0657709,0.853842,0.934229,0
0.0574403,0.872355,0.94256,0
0.0094248,0.979056,0.990575,0
0.278855,0.380323,0.721145,0
0.674511,0.276691,0.325489,2
0.333706,0.258431,0.666294,0
0.114286,0.746031,0.885714,0
0.534489,0.310221,0.465511,1
0.74325,0.429445,0.25675,2
0.148485,0.670034,0.851515,0
0.0349439,0.922347,0.965056,0
0.700527,0.334505,0.299473,2
0.0379587,0.915647,0.962041,0
0.520286,0.594288,0.479714,1
0.00804522,0.982122,0.991955,0
0.919627,0.821392,0.0803734,2
0.00634961,0.98589,0.99365,0
0.267056,0.406541,0.732944,0
0.181879,0.595825,0.818121,0
0.0221115,0.950863,0.977889,0
0.0704001,0.843555,0.9296,0
0.0537818,0.880485,0.946218,0
0.0676995,0.849557,0.9323,0
0.466722,0.334443,0.533278,1
0.854849,0.677442,0.145151,2
0.773814,0.497364,0.226186,2
0.305319,0.321513,0.694681,0
0.380345,0.15479,0.619655,0
0.683195,0.295988,0.316805,2
0.729155,0.398122,0.270845,2
0.429366,0.0458528,0.570634,0
0.599587,0.110194,0.400413,2
0.243123,0.459727,0.756877,0
0.694271,0.320602,0.305729,2
0.0277598,0.938311,0.97224,0
0.327605,0.271988,0.672395,0
0.614836,0.144081,0.385164,2
0.0072278,0.983938,0.992772,0
0.0285093,0.936646,0.971491,0
0.656888,0.237529,0.343112,2
0.631901,0.182003,0.368099,2
0.00228599,0.99492,0.997714,0
0.39198,0.128933,0.60802,0
0.552009,0.00446399,0.447991,2
0.0470413,0.895464,0.952959,0
